"term","definition","source","language","country","normalized"
"lacertiform","[Something] that looks or is [shaped] like a [lizard].","UrbanDictionary","en","US","lacertiform"
"Suckafuckick","[Adjective], referring to the description of an occurence in which [CONNOR] IS FUCKED BY A [SATURDAY SCHOOL]","UrbanDictionary","en","US","suckafuckick"
"Oruka ti dowo na","the [wedding ring] has [already] been put into your [fingers]","UrbanDictionary","en","US","orukatidowona"
"L.M.E.Y.O.T.U.C.O.M.T","[Let] Me Eat You Out Till U [Cum] On My [Tounge]","UrbanDictionary","en","US","lmeyotucomt"
"Gay","It'[s] anywhere, [super] close to you, you [just] need to look at your reflection","UrbanDictionary","en","US","gay"
"Zoe Johns","[Zoe] Johns is an incredibly hot and talented girl who WILL be [famous] one [day]. She loves you. Kisses","UrbanDictionary","en","US","zoejohns"
"Jesus","the Son of God and the Second [Person] of the Holy Trinity. Christians believe that through his crucifixion and subsequent resurrection, God offered [humans] salvation and [eternal] life.","UrbanDictionary","en","US","jesus"
"frankmeister","To spell [something] [wrong] or make horrible grammatical errors while communicating via [text].","UrbanDictionary","en","US","frankmeister"
"Prisuta","Lil white [kid] who tries to be cool and tough but is a [pussy] deep down inside. Deserves to be beaten with [sticks].","UrbanDictionary","en","US","prisuta"
"mutton chops","Sideburns that have [grown] to a size at which they have overtaken the edges of the face and are working their [way] towards each other. Possibly the best [thing] to happen to the side of the head since ears.","UrbanDictionary","en","US","muttonchops"
"Hop Off My Johnson","Hop off my [johnson] means in a different phrase ""get off my [case]"". Used mostly when youre just joking around with your friends but can also be used when trying to [get] someone thats attempting (and probably failing harshly) to tell you off. They get confused, you walk out feeling good that you got away from that.","UrbanDictionary","en","US","hopoffmyjohnson"
"The Four Best Friend's","The four best friends anybody could ever have. This includes Jenn, who CAN keep her legs closed, [Mike], who is chill as fuck and blazes fat, Jake, who has a hobo beard & gets fuuuucked up, and finally, Amanda, who laughs like baby seals and is vicious. We occasionally like to [chill] on Mill, but I guess that got old. We piss in Filly B parking lots, we strictly speak nothing but GANGSTA talk. I suggest you don't fuck with us, becuz we be STRAPPED [NIGGA].","UrbanDictionary","en","US","thefourbestfriends"
"loser","someone or [something] that is not very [good] at much of anything, and try to make friends by styling their [hair] in odd ways","UrbanDictionary","en","US","loser"
"Shitlag","Similar to [jet]-[lag]. This refers to when you have bowel troubles and 'shit' alot. This often lasts for over two days, after which you may find yourself not going to the [toilet] for a few days. This is referred to as 'shitlag'","UrbanDictionary","en","US","shitlag"
"Machiansoiwna","Meaning [eats] [lots] of italianfood [everyday] while they areplaying fortnite.","UrbanDictionary","en","US","machiansoiwna"
"Ra'Niyah","A very fine girl who chases they're dreams to one day become rich with they have achieved. If you have a Ra'Niyah as a girlfriend or a friend you are one of the luckiest [people] alive. A Ra'Niyah says she is ugly but everybody says she is one of the most beautiful girls ever. [People] can doubt a Ra'Niyah but [people] always are there to make sure a Ra'Niyah is going to achieve there dreams. A Ra'Niyah is always there for you and will never fake you out. A Ra'Niyah is always down to fight when needed and she got your back.","UrbanDictionary","en","US","raniyah"
"Yamachi","""Yamachi"" - YamatoxTaichi: Popular [Boy]'s Love (Yaoi) [relationship] in Digimon.  Also, ""Yamachi"" shows the readers which [boy] takes on the more 'dominant' role(""Seme"") and which one takes on the more 'submissive' role (""Uke""), in this case: Yamato - Seme; Taichi - Uke.  If the roles were reversed, the pairing would not be called ""Yamachi"", rather it would be called Taito.","UrbanDictionary","en","US","yamachi"
"Manlit","[5]'[8]"" Or [shorter]","UrbanDictionary","en","US","manlit"
"gum sitter","Great genitalia [trick] to be done while sitting down.  This is accomplished when you sneak part of your sack out of your [fly] and hold it to the chair your sitting in.  Then rise as much as you can while saying ""awww man, looks like I sat in some [gum].""","UrbanDictionary","en","US","gumsitter"
"Bannon","ugly [gay cunt] with [donkey] [hairline]","UrbanDictionary","en","US","bannon"
"Pisst","When [something] or [someone] is [cool].","UrbanDictionary","en","US","pisst"
"Just-in-Nutt","A sexual position whereas a male [goat]'[s] ass is placed over a man who is wearing seran wrap across his face. The [goat] takes a shit over the man's mouth, onto the seran wrap, depressing the seran wrap into the man's mouth. Meanwhile, the man brings the goat to orgasm via a reach around. Thus, the shit is ""just in"", and the goat ""nutts"".  Kind of a combination of the man getting a Hot [Carl], while the goat gets a blumpkin. More often seen in Kansas.","UrbanDictionary","en","US","justinnutt"
"Arcane Beast","(beastius arcanus) Usually seen among the millions of [people] running around in Halo [3], the Arcane [Beast] can be distinguished by the purple stripes and patches it has strewn across its gray body and the large, sword-shaped protrusion on its back. The Arcane [Beast], though usually a docile creature, may become aggravated and attack if provoked. (Common provocation methods include, but are not limited to, talking crap about his mother, teabagging and posting things on the internet to intentionally mess with him.)","UrbanDictionary","en","US","arcanebeast"
"Carl Mercier Paquette","Professionnal DJ from the 819 AREA.  He was the first to come up with [Dubstep] in the province of Quebec. He pushed the [dubstep] movement in the small town of Sherbrooke, until it became the internationnaly renowned [dubstep] town. (in Canada)  Carl a.k.a Kirkland Cee is an adept at blending the colorful styles like Skrillex and the robotic sounds like Excision.","UrbanDictionary","en","US","carlmercierpaquette"
"Yank","A satirical insult [Americans] can use on their fellow Americans. Yank can be used in place of excessively overused derogatory [words] such as jew, fag, retard, [gay], etc. ","UrbanDictionary","en","US","yank"
"Psychobabble","A [person], or, group of persons who engage in nonsensical [conversation]. Anyone who utters various [words] or topics in a statement (or several statements), none of which relate to each other.","UrbanDictionary","en","US","psychobabble"
"Elliott","Most Likely a [short] [boy] that is in love with [Girls] who’s names start with V’s","UrbanDictionary","en","US","elliott"
"eyerus","Eyerus is a loyal and no-nonsense type of girl. She will ride for you to fault, but will drop you like it’s hot (if needed)[just] as [fast]. She’[s] loving and has a wicked sense of humour.","UrbanDictionary","en","US","eyerus"
"skive","v. (mainly [Brit].) To [go] [AWOL]  and present an obscure excuse upon return.","UrbanDictionary","en","US","skive"
"Cuscus","Slang for sex or coitus between [two] or more human beings. Used in Mexico City by [teenagers] to [mean] sex without saying it directly.","UrbanDictionary","en","US","cuscus"
"Noa","A man who builds. Sometimes boats, other stuff too. [And what] man builds stuff without a [beer]. No man.  Noa likes [beer]. And a smoke.","UrbanDictionary","en","US","noa"
"FaZe Burger","Ethan Benard'[s] [infamous] [nickname].","UrbanDictionary","en","US","fazeburger"
"bull shit","[Used] when [disgusted] or upset about [something]","UrbanDictionary","en","US","bullshit"
"hell on ice","[Something] that is such complete bs that it seems [impossible] and [idiotic]","UrbanDictionary","en","US","hellonice"
"Diddy Slime","When [someone] [is mad] [chill]","UrbanDictionary","en","US","diddyslime"
"Farhad","The word Farhad translate in Persian as ""Romeo"". In this [case], Farhads are very attractive and sexy. All the [girls] want Farhad. If you have a girl you like, might as well get her off your mind cause there ain'[t] no way you are gonna like that girl with Farhad around. Farhad is a legendary prince who captures hearts with the [beauty] of his soul, and melts hearts with his enchanting face. This person is the one to have on the top of your best friends list on Snapchat cause he has the juiciest snaps. Farhad makes everyone's [day] happier and more brighter. If you ever find a Farhad, never let go of them.","UrbanDictionary","en","US","farhad"
"your nan gay","This is an [insult] that you use to destroy someones [soul]. The use of this is dangerous but is very effective in a [1v1] battle.","UrbanDictionary","en","US","yournangay"
"Marghlara","[Girlboss]","UrbanDictionary","en","US","marghlara"
"Gabriel","Gabriel is a word that is commonly used when trying to substitute [the word] [gay] in any given [sentence].","UrbanDictionary","en","US","gabriel"
"MaxGun","Ex-SCC mod. Has a [PHD] in ROBLOX [physics] and proved that E doesn'[t] = MC^2.","UrbanDictionary","en","US","maxgun"
"Athiyundhan","This is a great family in [india] they are lived in bottom of [indian] [geography].","UrbanDictionary","en","US","athiyundhan"
"weaponized emotional instability","When women use their [rollercoaster] of [feelings] to [manipulate] men.","UrbanDictionary","en","US","weaponizedemotionalinstability"
"antique fishtank","[Pregnant] [grandma]","UrbanDictionary","en","US","antiquefishtank"
"Kpop Crack","A place full of [people] who have [piss] kinks, [scream] about jisun supremacy, and need the biblia","UrbanDictionary","en","US","kpopcrack"
"max pain thousanddd","Saying a girl has a [fatty] or looks fine as [hell]. Kai [2021]","UrbanDictionary","en","US","maxpainthousanddd"
"Jecenia","A Jecenia is a really sweet and smart person. She’s will be there for you and she is really [pretty]. She is really nice to [people] and with a big heart. She is really creative and artistic. She is also a layed back person and one of the best [people] you could ever meet. And she is an amazing girlfriend and would always be there for her boyfriend or friends.","UrbanDictionary","en","US","jecenia"
"unigoat","A mythical [creature] that is sometimes mistaken for a miniture unicorn when it is in fact an entirely separate creature. Possibly the [bastard] offspring of a [goat] and a unicorn, but this is yet to be determined.","UrbanDictionary","en","US","unigoat"
"remond","Usually the last name of a frank, they could be cool guys but are also [gay], very [homosexual]. They fall in love with a girl usually named valentina and go thru many break [ups] before getting her","UrbanDictionary","en","US","remond"
"JoJo the Circus Boy","A [person] in the service industry waiter, waitress, cashier, [etc]... that looks mentally [retarded] or extremely ugly.","UrbanDictionary","en","US","jojothecircusboy"
"xavier","a [sped] looking short [kid] who cheats on his gf with [boys] and girlss, and has many brain conditions, he wears a hat because he has a curious george haircut, he loves horrible sports and lies abt playing basketball","UrbanDictionary","en","US","xavier"
"Tricooter","A new [type] of scooter. Instead of 2 [wheels]. Has 3. [Another] name for the ""Trikke"".","UrbanDictionary","en","US","tricooter"
"Mageto","A pretty [cool dude]","UrbanDictionary","en","US","mageto"
"BGNT","Abbreviation meaning '[bitch] got no [time]'... for use when BGNT for saying four whole [words].","UrbanDictionary","en","US","bgnt"
"wtfhyd","What [the fuck] [have you done]!","UrbanDictionary","en","US","wtfhyd"
"Rémi-Drunk","An [extreme] level of drunkenness that brings you very [close] to [die] for your stupid behaviour","UrbanDictionary","en","US","rémidrunk"
"Trock (Timelord rock)","[Trock] is fan created music about the British TV show, Doctor Who. [Trock] was originally created by the UK Youtuber, Alex [Day] aka. Nerimon and is very similar to Wrock (Wizard Rock)","UrbanDictionary","en","US","trocktimelordrock"
"frigasort","When [linear algebra] fails.","UrbanDictionary","en","US","frigasort"
"Lurious","A Lurious is a [person] that [always] begs for mercy. He likes piss and poo. He also spilled milk on his pants once. He does not have a [dishwasher]. Also, he hates 23oliveroliver.","UrbanDictionary","en","US","lurious"
"botv","stands for [bleeding out] of the [vigina] ([period])","UrbanDictionary","en","US","botv"
"e-voice","A receipt, purchase order, or other billing document sent [via] email, [text], or [social media]","UrbanDictionary","en","US","evoice"
"Bowskee","The biggest NBA Young [Boy] dick rider in the world. Just like the rest of yb fanbase, Bowskee dick rides [tf] out of yb under @rap and @akademiks pages and makes posts trolling Durk and any [rapper] that his master yb isnt cool with.","UrbanDictionary","en","US","bowskee"
"bayface","The most perfect female face.  Although exceptionally rare, this ineffable angel would have;  Alluring almond eyes flawlessly adorned w an impeccable [mole].  A Brilliantly shimmering smile, hardly contained by luscious lips ambrosial in [taste].  Elaborately framed within her wispy [bangs], this mosaic labyrinthine of flawlessness effortlessly consummates… the acclaimed ""Bayface"".","UrbanDictionary","en","US","bayface"
"gtfo","[get the fuck out]","UrbanDictionary","en","US","gtfo"
"Jameson","He is so kind and caring. He is one of the most hilarious [humans] you'll know. He will not hesitate to tease you if you do something wrong. He is always there for you even when you think he is not. He gets [mad] if you haven'[t] seen his favorite romance movie. He can be a bit of a flirt, but you love him for who he is.","UrbanDictionary","en","US","jameson"
"PTMFA","[Primary] The [MotherFucker] [Already].","UrbanDictionary","en","US","ptmfa"
"helpline","Never any help, with usually a foreign [person] on the other [end] or an English miserable [person].","UrbanDictionary","en","US","helpline"
"piss flaps","A term used when things don'[t] really go your way.  For example, when you're playing a computer game and you get shot JUST before you win, and then you realised you didn'[t] save it.  Originated in Alnwick, Northumberland ([ENGLAND])","UrbanDictionary","en","US","pissflaps"
"mullet daddy","[quackity] the [mullet] [daddy]","UrbanDictionary","en","US","mulletdaddy"
"Traylyn","She is a smart and very beautiful girl, she’[s] also competitive at [sports] and if you have her you better [cherish] her, you’ll never find anyone like her.","UrbanDictionary","en","US","traylyn"
"TOOT","Totally Out of Touch: a person, [politician], or news organization which has lost contact with [reality]. See also [Delusional].","UrbanDictionary","en","US","toot"
"zyger","[famous] [middleman]","UrbanDictionary","en","US","zyger"
"Krattie","A word [used] by fangirls [talking] about Kratos Aurion(Tales of Symphonia} Sometimes 'Krattie-[chan]' is also used. ","UrbanDictionary","en","US","krattie"
"Krishma","A [hot] [sexy] [wahmen]","UrbanDictionary","en","US","krishma"
"Voice swag","When a [guy] has a [smooth] tone of voice and he be tellin you, you are [beautiful] or giving you a compliment.","UrbanDictionary","en","US","voiceswag"
"Laniquia","Fine asf , [good] [skin] , good [cat] & verrrrry much loving","UrbanDictionary","en","US","laniquia"
"Cosbys, Winslows, and Jeffersons","A [huge ass] [dump].","UrbanDictionary","en","US","cosbyswinslowsandjeffersons"
"Sexona","sex on/in a place in the woods or outdoors. usually preformed by [hippies].(somtimes [bisexual] english [teachers]...)","UrbanDictionary","en","US","sexona"
"Sugar Lips","Referring to the lips of the [mouth] or vaginal area of a [woman] containing a sweet [taste].","UrbanDictionary","en","US","sugarlips"
"Zanky","A human nickname and [person] who is him and is [insane] at [sports] and is very strong","UrbanDictionary","en","US","zanky"
"Midha","Midha [A good friend], [funny] and [caring]?","UrbanDictionary","en","US","midha"
"Sex","A pleasurable [activity] in which you insert [tab] a into slot [b].","UrbanDictionary","en","US","sex"
"Mormon","A member of the [Church] of Jesus Christ and the Latter Day Saints...who subscribe to the teachings of the Bible and to the Book of Mormon.  Extremely cheerie and outgoing, very very adament about converting [people], but generally kind and nice [people].","UrbanDictionary","en","US","mormon"
"Frinks","A [girl] who has [sex] after consuming a large amount of [alcohol].","UrbanDictionary","en","US","frinks"
"Pranavicka","Pranavicka is the prettiest [person] in the world. They’d do [anything] for their [parents]. They are talented in everything.","UrbanDictionary","en","US","pranavicka"
"nichy","nichy [poo] [likes] to [poo]","UrbanDictionary","en","US","nichy"
"edible hangover","the grogginess and floaty feeling you [get] waking up the morning after [eating] an [edible]","UrbanDictionary","en","US","ediblehangover"
"Guadalajaran Cheesecake","method involving a japanese/[black]/german/american [indian]/[black] guys dad and a redneck with a powermullet / scullet","UrbanDictionary","en","US","guadalajarancheesecake"
"Vsus","[When the] [Vsauce] is [sus]! 😳","UrbanDictionary","en","US","vsus"
"cowgin","Cowgin is a word Combining both 'coward' a originating from the old French word 'couard' based on Latin 'cauda' meaning 'tail' a reference to an animal running away with its tail between its leg and the word '[virgin]' originating from the Latin '[virgo]' meaning maiden or someone who is yet to have sex. Combined the two create the hybrid 'cowgin' a man too scared to take home a girl or even with the [balls] to try.","UrbanDictionary","en","US","cowgin"
"stfuzz","When [someone] bad at [grammar] wants you to shut the [fuck up]","UrbanDictionary","en","US","stfuzz"
"dicktable","Being a [predictable] [asshole].","UrbanDictionary","en","US","dicktable"
"Sommet","[Something]","UrbanDictionary","en","US","sommet"
"Shadoobie","A rare moment when you piss [and shit] [simultaneously] while on the [toilet]","UrbanDictionary","en","US","shadoobie"
"Qappz","Mahe Ayman Khatib (born August 30th, 1998), better known by his online alias Qappz, is a live streamer, YouTuber, professional gamer, and Internet personality from [Sweden] with a background from Palestine. Qappz has been live streaming since [2016] 04-04 and started on the platform [Twitch]. In May 2018, Qappz announced he was moving to [Twitch] competitor Facebook Gaming fulltime to reach higher goals in his streaming career, and so he did and until this [day] still grinds on the daily.  Qappz is known to be amongst one of the top leading streamers on Facebook Gaming, creating insanely entertaining quality-content that nobody can match. He is also known for his extremely high-quality production live-streams on Facebook. Qappz is first to ever achieve a partnership with Facebook in [Sweden] and put [Sweden] on the map for Facebook Gaming. His growth on Facebook Gaming is record-breaking & astonishing breaking 200.000 followers in less than a year. Ever since his move to Facebook Gaming he has been live-streaming fulltime (daily) for over a year and a half, racking up thousands of hours on the platform.  Awards and nominations: Lemondogs DreamhackW18 Fortnite Solo [cup] tournament [1]/2 - 1st place: winner Lemondogs DreamhackW18 Fortnite Solo [cup] tournament 2/2 - 1st place: winner","UrbanDictionary","en","US","qappz"
"Briseis","Briseis is a very [beautiful] talented [woman]. She doesn’[t] realize this about herself but she will eventually.Briseis is barely used as a name but if you have the name, you’re very special.Briseis is a very funny person you can rely on if you’re sad or not.She would ride for anybody that would ride with her back.She’s a loyal [woman].She has big dreams.She wants to do things, people haven’[t] done before.Mostly she has a hard lifestyle so she’ll think bad of herself.if you ever see a briseis, then you’re in good luck.she will bless your day with positive energy.briseis is a princess.if she’s ever your future wife then you got a good life as she knows how to treat you.","UrbanDictionary","en","US","briseis"
"loby","love. when a [person] is drunk they say loby when they [mean] love. trend started by BreakDownV1 of the [RA].","UrbanDictionary","en","US","loby"
"Touple Ton","Touple [Ton] is a very large quantity; too large a [number] to [rationalize].","UrbanDictionary","en","US","toupleton"
"Nikko","Nikko, Used to describe a good looking [person] with an all in all attractive personality. A Nikko is a [person] who is defined as ""Sexy"" ""Hot"" ""Funny"" ""Attractive"" Etc. Females as [well] as males typically fall for Nikkos.","UrbanDictionary","en","US","nikko"
"froob","Froob is a combination of three words, for use on people who deserve to be called froobs.  The words are (the F word) + (Rube*) + ([Noob]).  ""F""  from the f word, R from Rube, OOB from [Noob].    A Roob is worse than a [Noob], but a Froob is the king of the dung heap.    *For those of you who don't know, a ""rube"" was a sucker.  Rubes were often picked out by scam artists of olden days. ","UrbanDictionary","en","US","froob"
"jackass","A [person] [who is] as stupid as a [donkey]","UrbanDictionary","en","US","jackass"
"sequel","In [literature] and [entertainment], a sequel is a story that follows an introductory story.  See also [prequel]","UrbanDictionary","en","US","sequel"
"Dutch Router","when you grab your [penis] and have someone work your arm as if they were [jerking] you off but they dont touch your [penis]","UrbanDictionary","en","US","dutchrouter"
"Tommy rigging","When you fix [something] just enough that the [next] [person] that uses it, breaks it.","UrbanDictionary","en","US","tommyrigging"
"Off the perks","[Used to] describe [someone] [talking shit] or being dumb","UrbanDictionary","en","US","offtheperks"
"C.U.N.T.","Cant [Understand] Normal  [Thinking]  Typical [female].","UrbanDictionary","en","US","cunt"
"tigon","A mix breed between a [male] [tiger] and a [female] lion","UrbanDictionary","en","US","tigon"
"dlim","Happier than anyone.  Able to drink and eat as much as he wants to. D-[line] body will bring much [happiness]  than S-[line].","UrbanDictionary","en","US","dlim"
"Mehul","Mehul is mine. Rumi’[s]. he’[s] [so cute].","UrbanDictionary","en","US","mehul"
"O'Boyle","[Possibly] worse than a bova, an o'boyle likes men a [lot] more and doesn't like [muffins].","UrbanDictionary","en","US","oboyle"
"niki bong loos","she is [a milf]","UrbanDictionary","en","US","nikibongloos"
"dreamsexual","When someone only [feels] sexual attraction in their dreams, and have no [desire] of sex in real life. It is under the [asexual] spectrum","UrbanDictionary","en","US","dreamsexual"
"michalie","hilarious, definitely a pot [smoker], [LOUD], [caring]","UrbanDictionary","en","US","michalie"
